"T",,"date"
184.75,2430.09,"2022,05,30,11:44:14"
185,2431.09,"2022,05,30,11:44:15"
185,2432.09,"2022,05,30,11:44:16"
184.75,2433.1,"2022,05,30,11:44:17"
184,2434.1,"2022,05,30,11:44:18"
184.5,2435.1,"2022,05,30,11:44:19"
184.25,2436.1,"2022,05,30,11:44:20"
184.25,2437.1,"2022,05,30,11:44:21"
184.25,2438.1,"2022,05,30,11:44:22"
184.25,2439.11,"2022,05,30,11:44:23"
184.25,2440.11,"2022,05,30,11:44:24"
183.25,2441.11,"2022,05,30,11:44:25"
184,2442.13,"2022,05,30,11:44:26"
183.75,2443.13,"2022,05,30,11:44:27"
184,2444.13,"2022,05,30,11:44:28"
183.5,2445.14,"2022,05,30,11:44:29"
183.25,2446.14,"2022,05,30,11:44:30"
183,2447.14,"2022,05,30,11:44:31"
183.5,2448.14,"2022,05,30,11:44:32"
182.75,2449.14,"2022,05,30,11:44:33"
182.5,2450.14,"2022,05,30,11:44:34"
183,2451.15,"2022,05,30,11:44:35"
183,2452.15,"2022,05,30,11:44:36"
182.5,2453.15,"2022,05,30,11:44:37"
182.25,2454.15,"2022,05,30,11:44:38"
183,2455.15,"2022,05,30,11:44:39"
182.5,2456.15,"2022,05,30,11:44:40"
182.25,2457.16,"2022,05,30,11:44:41"
182.25,2458.16,"2022,05,30,11:44:42"
182.75,2459.16,"2022,05,30,11:44:43"
182,2460.16,"2022,05,30,11:44:44"
181.75,2461.16,"2022,05,30,11:44:45"
181.75,2462.16,"2022,05,30,11:44:46"
181.5,2463.17,"2022,05,30,11:44:47"
181.75,2464.17,"2022,05,30,11:44:48"
181.5,2465.17,"2022,05,30,11:44:49"
182,2466.17,"2022,05,30,11:44:50"
181.25,2467.17,"2022,05,30,11:44:51"
181.75,2468.17,"2022,05,30,11:44:52"
182,2469.18,"2022,05,30,11:44:53"
181.25,2470.18,"2022,05,30,11:44:54"
181.75,2471.18,"2022,05,30,11:44:55"
181.25,2472.18,"2022,05,30,11:44:56"
181,2473.18,"2022,05,30,11:44:57"
181,2474.18,"2022,05,30,11:44:58"
181,2475.19,"2022,05,30,11:44:59"
180.5,2476.19,"2022,05,30,11:45:00"
181,2477.19,"2022,05,30,11:45:01"
180.5,2478.19,"2022,05,30,11:45:02"
180.75,2479.19,"2022,05,30,11:45:03"
181,2480.19,"2022,05,30,11:45:04"
180.25,2481.2,"2022,05,30,11:45:05"
180.25,2482.2,"2022,05,30,11:45:06"
180.25,2483.2,"2022,05,30,11:45:07"
180,2484.2,"2022,05,30,11:45:08"
180.25,2485.2,"2022,05,30,11:45:09"
180,2486.2,"2022,05,30,11:45:10"
180.5,2487.21,"2022,05,30,11:45:11"
179.75,2488.21,"2022,05,30,11:45:12"
180.25,2489.21,"2022,05,30,11:45:13"
180.25,2490.21,"2022,05,30,11:45:14"
179.5,2491.21,"2022,05,30,11:45:15"
179.25,2492.22,"2022,05,30,11:45:16"
179,2493.22,"2022,05,30,11:45:17"
179.75,2494.22,"2022,05,30,11:45:18"
179.75,2495.22,"2022,05,30,11:45:19"
179,2496.22,"2022,05,30,11:45:20"
179,2497.22,"2022,05,30,11:45:21"
178.75,2498.22,"2022,05,30,11:45:22"
178.75,2499.23,"2022,05,30,11:45:23"
179.25,2500.23,"2022,05,30,11:45:24"
179.25,2501.23,"2022,05,30,11:45:25"
179,2502.23,"2022,05,30,11:45:26"
179,2503.23,"2022,05,30,11:45:27"
178.25,2504.23,"2022,05,30,11:45:28"
178.75,2505.24,"2022,05,30,11:45:29"
178.75,2506.24,"2022,05,30,11:45:30"
178.75,2507.24,"2022,05,30,11:45:31"
178,2508.24,"2022,05,30,11:45:32"
178.25,2509.24,"2022,05,30,11:45:33"
178,2510.25,"2022,05,30,11:45:34"
178.25,2511.25,"2022,05,30,11:45:35"
178.25,2512.25,"2022,05,30,11:45:36"
178,2513.25,"2022,05,30,11:45:37"
178,2514.25,"2022,05,30,11:45:38"
177.5,2515.25,"2022,05,30,11:45:39"
178,2516.25,"2022,05,30,11:45:40"
178,2517.26,"2022,05,30,11:45:41"
177.75,2518.26,"2022,05,30,11:45:42"
177.25,2519.26,"2022,05,30,11:45:43"
177.75,2520.26,"2022,05,30,11:45:44"
177.25,2521.26,"2022,05,30,11:45:45"
177.5,2522.27,"2022,05,30,11:45:46"
177.5,2523.27,"2022,05,30,11:45:47"
177.25,2524.27,"2022,05,30,11:45:48"
177.5,2525.27,"2022,05,30,11:45:49"
176.5,2526.27,"2022,05,30,11:45:50"
176.5,2527.27,"2022,05,30,11:45:51"
176.5,2528.28,"2022,05,30,11:45:52"
176.75,2529.28,"2022,05,30,11:45:53"
177.25,2530.28,"2022,05,30,11:45:54"
177,2531.28,"2022,05,30,11:45:55"
177,2532.28,"2022,05,30,11:45:56"
176.5,2533.28,"2022,05,30,11:45:57"
176.75,2534.29,"2022,05,30,11:45:58"
176.5,2535.29,"2022,05,30,11:45:59"
176.75,2536.29,"2022,05,30,11:46:00"
176,2537.29,"2022,05,30,11:46:01"
176,2538.29,"2022,05,30,11:46:02"
175.5,2539.29,"2022,05,30,11:46:03"
175.75,2540.29,"2022,05,30,11:46:04"
176,2541.3,"2022,05,30,11:46:05"
176.25,2542.3,"2022,05,30,11:46:06"
175.5,2543.3,"2022,05,30,11:46:07"
175.25,2544.3,"2022,05,30,11:46:08"
175.5,2545.3,"2022,05,30,11:46:09"
175.5,2546.3,"2022,05,30,11:46:10"
175.5,2547.31,"2022,05,30,11:46:11"
175,2548.31,"2022,05,30,11:46:12"
175.5,2549.31,"2022,05,30,11:46:13"
175.5,2550.31,"2022,05,30,11:46:14"
174.75,2551.31,"2022,05,30,11:46:15"
174.75,2552.31,"2022,05,30,11:46:16"
175.25,2553.32,"2022,05,30,11:46:17"
175,2554.32,"2022,05,30,11:46:18"
174.75,2555.32,"2022,05,30,11:46:19"
174.5,2556.32,"2022,05,30,11:46:20"
174.75,2557.32,"2022,05,30,11:46:21"
175,2558.33,"2022,05,30,11:46:22"
174.5,2559.33,"2022,05,30,11:46:23"
174.5,2560.33,"2022,05,30,11:46:24"
174.5,2561.33,"2022,05,30,11:46:25"
174.75,2562.33,"2022,05,30,11:46:26"
174.75,2563.33,"2022,05,30,11:46:27"
174,2564.34,"2022,05,30,11:46:28"
174.25,2565.34,"2022,05,30,11:46:29"
174.5,2566.34,"2022,05,30,11:46:30"
173.5,2567.34,"2022,05,30,11:46:31"
173.75,2568.34,"2022,05,30,11:46:32"
173.25,2569.34,"2022,05,30,11:46:33"
174,2570.35,"2022,05,30,11:46:34"
173.5,2571.35,"2022,05,30,11:46:35"
174,2572.35,"2022,05,30,11:46:36"
173.25,2573.35,"2022,05,30,11:46:37"
173,2574.35,"2022,05,30,11:46:38"
173,2575.35,"2022,05,30,11:46:39"
173,2576.36,"2022,05,30,11:46:40"
172.75,2577.36,"2022,05,30,11:46:41"
172.75,2578.36,"2022,05,30,11:46:42"
172.75,2579.36,"2022,05,30,11:46:43"
173.25,2580.36,"2022,05,30,11:46:44"
173,2581.36,"2022,05,30,11:46:45"
173,2582.36,"2022,05,30,11:46:46"
173,2583.37,"2022,05,30,11:46:47"
172.75,2584.37,"2022,05,30,11:46:48"
173,2585.37,"2022,05,30,11:46:49"
172.75,2586.37,"2022,05,30,11:46:50"
172.25,2587.37,"2022,05,30,11:46:51"
172,2588.37,"2022,05,30,11:46:52"
172.25,2589.38,"2022,05,30,11:46:53"
172.5,2590.38,"2022,05,30,11:46:54"
172,2591.38,"2022,05,30,11:46:55"
171.75,2592.38,"2022,05,30,11:46:56"
172.25,2593.38,"2022,05,30,11:46:57"
172.5,2594.38,"2022,05,30,11:46:58"
171.75,2595.39,"2022,05,30,11:46:59"
171.5,2596.39,"2022,05,30,11:47:00"
171.75,2597.39,"2022,05,30,11:47:01"
172,2598.39,"2022,05,30,11:47:02"
172,2599.39,"2022,05,30,11:47:03"
172,2600.4,"2022,05,30,11:47:04"
172,2601.4,"2022,05,30,11:47:05"
172,2602.4,"2022,05,30,11:47:06"
171.25,2603.4,"2022,05,30,11:47:07"
171.75,2604.4,"2022,05,30,11:47:08"
171,2605.4,"2022,05,30,11:47:09"
171.25,2606.41,"2022,05,30,11:47:10"
171.5,2607.41,"2022,05,30,11:47:11"
171.25,2608.41,"2022,05,30,11:47:12"
170.5,2609.41,"2022,05,30,11:47:13"
171,2610.41,"2022,05,30,11:47:14"
170.5,2611.41,"2022,05,30,11:47:15"
171,2612.42,"2022,05,30,11:47:16"
171,2613.42,"2022,05,30,11:47:17"
171,2614.42,"2022,05,30,11:47:18"
171,2615.42,"2022,05,30,11:47:19"
170.25,2616.42,"2022,05,30,11:47:20"
170,2617.42,"2022,05,30,11:47:21"
170,2618.43,"2022,05,30,11:47:22"
169.75,2619.43,"2022,05,30,11:47:23"
170.5,2620.43,"2022,05,30,11:47:24"
169.75,2621.43,"2022,05,30,11:47:26"
169.75,2622.45,"2022,05,30,11:47:26"
169.75,2623.45,"2022,05,30,11:47:27"
169.75,2624.46,"2022,05,30,11:47:28"
170.25,2625.46,"2022,05,30,11:47:29"
170.25,2626.46,"2022,05,30,11:47:30"
169.25,2627.46,"2022,05,30,11:47:31"
169.25,2628.46,"2022,05,30,11:47:32"
170,2629.46,"2022,05,30,11:47:33"
169.5,2630.47,"2022,05,30,11:47:34"
169.75,2631.47,"2022,05,30,11:47:35"
169.25,2632.47,"2022,05,30,11:47:36"
169.5,2633.47,"2022,05,30,11:47:37"
169,2634.47,"2022,05,30,11:47:38"
169,2635.47,"2022,05,30,11:47:39"
169,2636.48,"2022,05,30,11:47:40"
169.25,2637.48,"2022,05,30,11:47:42"
169.5,2638.48,"2022,05,30,11:47:42"
169,2639.48,"2022,05,30,11:47:44"
168.75,2640.48,"2022,05,30,11:47:44"
169.25,2641.48,"2022,05,30,11:47:45"
168.75,2642.49,"2022,05,30,11:47:47"
168.25,2643.49,"2022,05,30,11:47:48"
168.75,2644.49,"2022,05,30,11:47:49"
168.5,2645.49,"2022,05,30,11:47:49"
169,2646.49,"2022,05,30,11:47:51"
168.75,2647.5,"2022,05,30,11:47:52"
168.5,2648.5,"2022,05,30,11:47:53"
168.5,2649.5,"2022,05,30,11:47:54"
168.5,2650.5,"2022,05,30,11:47:55"
168.5,2651.5,"2022,05,30,11:47:56"
168.25,2652.5,"2022,05,30,11:47:57"
168.5,2653.51,"2022,05,30,11:47:58"
167.75,2654.51,"2022,05,30,11:47:59"
168.25,2655.51,"2022,05,30,11:48:00"
167.5,2656.51,"2022,05,30,11:48:01"
167.5,2657.51,"2022,05,30,11:48:02"
167.5,2658.51,"2022,05,30,11:48:03"
167.25,2659.52,"2022,05,30,11:48:04"
167.5,2660.52,"2022,05,30,11:48:05"
167.25,2661.52,"2022,05,30,11:48:06"
167.75,2662.52,"2022,05,30,11:48:07"
167.75,2663.52,"2022,05,30,11:48:08"
167.25,2664.52,"2022,05,30,11:48:09"
167.75,2665.52,"2022,05,30,11:48:10"
166.75,2666.53,"2022,05,30,11:48:11"
167.5,2667.53,"2022,05,30,11:48:12"
167.5,2668.53,"2022,05,30,11:48:13"
167.5,2669.53,"2022,05,30,11:48:14"
167.25,2670.53,"2022,05,30,11:48:15"
166.5,2671.53,"2022,05,30,11:48:16"
166.5,2672.54,"2022,05,30,11:48:17"
167,2673.54,"2022,05,30,11:48:18"
166.5,2674.54,"2022,05,30,11:48:19"
166.25,2675.54,"2022,05,30,11:48:20"
166.5,2676.54,"2022,05,30,11:48:21"
166,2677.54,"2022,05,30,11:48:22"
166.75,2678.55,"2022,05,30,11:48:23"
166.5,2679.55,"2022,05,30,11:48:24"
166,2680.55,"2022,05,30,11:48:25"
166.5,2681.55,"2022,05,30,11:48:26"
165.75,2682.55,"2022,05,30,11:48:27"
166.5,2683.56,"2022,05,30,11:48:28"
166.5,2684.56,"2022,05,30,11:48:29"
165.75,2685.56,"2022,05,30,11:48:30"
166.25,2686.56,"2022,05,30,11:48:31"
165.25,2687.56,"2022,05,30,11:48:32"
165.5,2688.56,"2022,05,30,11:48:33"
165.75,2689.57,"2022,05,30,11:48:34"
166,2690.57,"2022,05,30,11:48:35"
165.25,2691.57,"2022,05,30,11:48:36"
165,2692.57,"2022,05,30,11:48:37"
165.75,2693.57,"2022,05,30,11:48:38"
165.5,2694.57,"2022,05,30,11:48:39"
164.75,2695.58,"2022,05,30,11:48:40"
164.75,2696.58,"2022,05,30,11:48:41"
164.5,2697.58,"2022,05,30,11:48:42"
165.25,2698.58,"2022,05,30,11:48:43"
165,2699.58,"2022,05,30,11:48:44"
165.25,2700.58,"2022,05,30,11:48:45"
164.5,2701.59,"2022,05,30,11:48:46"
164.5,2702.59,"2022,05,30,11:48:47"
164.75,2703.59,"2022,05,30,11:48:48"
164,2704.59,"2022,05,30,11:48:49"
164.75,2705.59,"2022,05,30,11:48:50"
164.25,2706.59,"2022,05,30,11:48:51"
164.5,2707.59,"2022,05,30,11:48:52"
164,2708.6,"2022,05,30,11:48:53"
164.25,2709.6,"2022,05,30,11:48:54"
164,2710.6,"2022,05,30,11:48:55"
163.5,2711.6,"2022,05,30,11:48:56"
163.75,2712.6,"2022,05,30,11:48:57"
163.75,2713.6,"2022,05,30,11:48:58"
163.5,2714.61,"2022,05,30,11:48:59"
164,2715.61,"2022,05,30,11:49:00"
163.25,2716.61,"2022,05,30,11:49:01"
163.5,2717.61,"2022,05,30,11:49:02"
164,2718.61,"2022,05,30,11:49:03"
163.75,2719.61,"2022,05,30,11:49:04"
163,2720.62,"2022,05,30,11:49:05"
163.25,2721.62,"2022,05,30,11:49:06"
163.5,2722.62,"2022,05,30,11:49:07"
163.75,2723.62,"2022,05,30,11:49:08"
163,2724.62,"2022,05,30,11:49:09"
163,2725.63,"2022,05,30,11:49:10"
162.75,2726.63,"2022,05,30,11:49:11"
162.75,2727.63,"2022,05,30,11:49:12"
163.25,2728.63,"2022,05,30,11:49:13"
163,2729.63,"2022,05,30,11:49:14"
162.5,2730.63,"2022,05,30,11:49:15"
162.5,2731.64,"2022,05,30,11:49:16"
162.25,2732.64,"2022,05,30,11:49:17"
162.5,2733.64,"2022,05,30,11:49:18"
163,2734.64,"2022,05,30,11:49:19"
162.5,2735.64,"2022,05,30,11:49:20"
162.25,2736.64,"2022,05,30,11:49:21"
162.75,2737.65,"2022,05,30,11:49:22"
162,2738.65,"2022,05,30,11:49:23"
162,2739.65,"2022,05,30,11:49:24"
162,2740.65,"2022,05,30,11:49:25"
162.25,2741.65,"2022,05,30,11:49:26"
162,2742.65,"2022,05,30,11:49:27"
162.25,2743.66,"2022,05,30,11:49:28"
161.75,2744.66,"2022,05,30,11:49:29"
162.25,2745.66,"2022,05,30,11:49:30"
161.75,2746.66,"2022,05,30,11:49:31"
162,2747.66,"2022,05,30,11:49:32"
161.5,2748.66,"2022,05,30,11:49:33"
161.75,2749.66,"2022,05,30,11:49:34"
161.5,2750.67,"2022,05,30,11:49:35"
161.25,2751.67,"2022,05,30,11:49:36"
161.25,2752.67,"2022,05,30,11:49:37"
161.25,2753.67,"2022,05,30,11:49:38"
161.25,2754.67,"2022,05,30,11:49:39"
161,2755.67,"2022,05,30,11:49:40"
160.75,2756.68,"2022,05,30,11:49:41"
160.75,2757.68,"2022,05,30,11:49:42"
160.5,2758.68,"2022,05,30,11:49:43"
160.75,2759.68,"2022,05,30,11:49:44"
161.25,2760.68,"2022,05,30,11:49:45"
160.5,2761.69,"2022,05,30,11:49:46"
161,2762.69,"2022,05,30,11:49:47"
160.75,2763.69,"2022,05,30,11:49:48"
160.75,2764.69,"2022,05,30,11:49:49"
160.75,2765.69,"2022,05,30,11:49:50"
161,2766.69,"2022,05,30,11:49:51"
160.5,2767.7,"2022,05,30,11:49:52"
159.75,2768.7,"2022,05,30,11:49:53"
160.5,2769.7,"2022,05,30,11:49:54"
160.25,2770.7,"2022,05,30,11:49:55"
160.5,2771.7,"2022,05,30,11:49:56"
160.25,2772.7,"2022,05,30,11:49:57"
159.5,2773.71,"2022,05,30,11:49:58"
159.75,2774.71,"2022,05,30,11:49:59"
160.25,2775.71,"2022,05,30,11:50:00"
159.75,2776.71,"2022,05,30,11:50:01"
160.25,2777.71,"2022,05,30,11:50:02"
160,2778.71,"2022,05,30,11:50:03"
160.25,2779.72,"2022,05,30,11:50:04"
159.5,2780.72,"2022,05,30,11:50:05"
159.25,2781.72,"2022,05,30,11:50:06"
159,2782.72,"2022,05,30,11:50:07"
159,2783.72,"2022,05,30,11:50:08"
159,2784.72,"2022,05,30,11:50:09"
159.25,2785.73,"2022,05,30,11:50:10"
159.5,2786.73,"2022,05,30,11:50:11"
159,2787.73,"2022,05,30,11:50:12"
159.25,2788.73,"2022,05,30,11:50:13"
159.25,2789.73,"2022,05,30,11:50:14"
159,2790.73,"2022,05,30,11:50:15"
158.5,2791.74,"2022,05,30,11:50:16"
159.25,2792.74,"2022,05,30,11:50:17"
158.75,2793.74,"2022,05,30,11:50:18"
159.25,2794.74,"2022,05,30,11:50:19"
158.25,2795.74,"2022,05,30,11:50:20"
158.5,2796.74,"2022,05,30,11:50:21"
158.25,2797.75,"2022,05,30,11:50:22"
158.75,2798.75,"2022,05,30,11:50:23"
159,2799.75,"2022,05,30,11:50:24"
158.75,2800.75,"2022,05,30,11:50:25"
158.25,2801.75,"2022,05,30,11:50:26"
158.25,2802.77,"2022,05,30,11:50:27"
159,2803.77,"2022,05,30,11:50:28"
158.5,2804.77,"2022,05,30,11:50:29"
158.75,2805.77,"2022,05,30,11:50:30"
158,2806.78,"2022,05,30,11:50:31"
158,2807.78,"2022,05,30,11:50:32"
158.5,2808.78,"2022,05,30,11:50:33"
158.75,2809.78,"2022,05,30,11:50:34"
158,2810.78,"2022,05,30,11:50:35"
158,2811.78,"2022,05,30,11:50:36"
158.75,2812.79,"2022,05,30,11:50:37"
158.5,2813.79,"2022,05,30,11:50:38"
158.5,2814.79,"2022,05,30,11:50:39"
158,2815.79,"2022,05,30,11:50:40"
158.75,2816.79,"2022,05,30,11:50:41"
158.75,2817.79,"2022,05,30,11:50:42"
158.5,2818.8,"2022,05,30,11:50:43"
159,2819.8,"2022,05,30,11:50:44"
158.75,2820.8,"2022,05,30,11:50:45"
158.75,2821.8,"2022,05,30,11:50:46"
159.5,2822.8,"2022,05,30,11:50:47"
159.5,2823.8,"2022,05,30,11:50:48"
159.5,2824.81,"2022,05,30,11:50:49"
159.25,2825.81,"2022,05,30,11:50:50"
159.75,2826.81,"2022,05,30,11:50:51"
159.75,2827.81,"2022,05,30,11:50:52"
159.5,2828.81,"2022,05,30,11:50:53"
159.25,2829.81,"2022,05,30,11:50:54"
159.75,2830.81,"2022,05,30,11:50:55"
160.25,2831.82,"2022,05,30,11:50:56"
160.25,2832.82,"2022,05,30,11:50:57"
159.75,2833.82,"2022,05,30,11:50:58"
160.25,2834.82,"2022,05,30,11:50:59"
160.75,2835.82,"2022,05,30,11:51:00"
160.5,2836.83,"2022,05,30,11:51:01"
160.25,2837.83,"2022,05,30,11:51:02"
160.25,2838.83,"2022,05,30,11:51:03"
160.5,2839.83,"2022,05,30,11:51:04"
161.25,2840.83,"2022,05,30,11:51:05"
161.5,2841.83,"2022,05,30,11:51:06"
161.25,2842.84,"2022,05,30,11:51:07"
160.75,2843.84,"2022,05,30,11:51:08"
161.75,2844.84,"2022,05,30,11:51:09"
161.25,2845.84,"2022,05,30,11:51:10"
161,2846.84,"2022,05,30,11:51:11"
161.5,2847.84,"2022,05,30,11:51:12"
160.75,2848.85,"2022,05,30,11:51:13"
161,2849.85,"2022,05,30,11:51:14"
161,2850.85,"2022,05,30,11:51:15"
161,2851.85,"2022,05,30,11:51:16"
161.5,2852.85,"2022,05,30,11:51:17"
161.75,2853.85,"2022,05,30,11:51:18"
161.5,2854.86,"2022,05,30,11:51:19"
161.5,2855.86,"2022,05,30,11:51:20"
161.5,2856.86,"2022,05,30,11:51:21"
161,2857.86,"2022,05,30,11:51:22"
160.75,2858.86,"2022,05,30,11:51:23"
161.5,2859.86,"2022,05,30,11:51:24"
161.5,2860.87,"2022,05,30,11:51:25"
161.25,2861.87,"2022,05,30,11:51:26"
161.5,2862.87,"2022,05,30,11:51:27"
160.5,2863.87,"2022,05,30,11:51:28"
160.5,2864.87,"2022,05,30,11:51:29"
161.25,2865.87,"2022,05,30,11:51:30"
161.25,2866.88,"2022,05,30,11:51:31"
161,2867.88,"2022,05,30,11:51:32"
161,2868.88,"2022,05,30,11:51:33"
160.5,2869.88,"2022,05,30,11:51:34"
160.25,2870.88,"2022,05,30,11:51:35"
161,2871.88,"2022,05,30,11:51:36"
160.25,2872.89,"2022,05,30,11:51:37"
160.75,2873.89,"2022,05,30,11:51:38"
160,2874.89,"2022,05,30,11:51:39"
160.75,2875.89,"2022,05,30,11:51:40"
160.25,2876.89,"2022,05,30,11:51:41"
160.25,2877.89,"2022,05,30,11:51:42"
159.75,2878.9,"2022,05,30,11:51:43"
160.25,2879.9,"2022,05,30,11:51:44"
160,2880.9,"2022,05,30,11:51:45"
160,2881.9,"2022,05,30,11:51:46"
160,2882.9,"2022,05,30,11:51:47"
160.25,2883.91,"2022,05,30,11:51:48"
160.25,2884.91,"2022,05,30,11:51:49"
159.5,2885.91,"2022,05,30,11:51:50"
159.75,2886.91,"2022,05,30,11:51:51"
160.25,2887.91,"2022,05,30,11:51:52"
160.25,2888.91,"2022,05,30,11:51:53"
159.25,2889.92,"2022,05,30,11:51:54"
160.25,2890.92,"2022,05,30,11:51:55"
159.75,2891.92,"2022,05,30,11:51:56"
160,2892.92,"2022,05,30,11:51:57"
159.75,2893.92,"2022,05,30,11:51:58"
160.25,2894.92,"2022,05,30,11:51:59"
159.25,2895.93,"2022,05,30,11:52:00"
160,2896.93,"2022,05,30,11:52:01"
159.75,2897.93,"2022,05,30,11:52:02"
160.25,2898.93,"2022,05,30,11:52:03"
159.25,2899.93,"2022,05,30,11:52:04"
160,2900.93,"2022,05,30,11:52:05"
159.75,2901.94,"2022,05,30,11:52:06"
159.25,2902.94,"2022,05,30,11:52:07"
160,2903.94,"2022,05,30,11:52:08"
159.25,2904.94,"2022,05,30,11:52:09"
159.5,2905.94,"2022,05,30,11:52:10"
159.75,2906.95,"2022,05,30,11:52:11"
159.75,2907.95,"2022,05,30,11:52:12"
160.25,2908.95,"2022,05,30,11:52:13"
160.25,2909.95,"2022,05,30,11:52:14"
159.5,2910.95,"2022,05,30,11:52:15"
159.75,2911.95,"2022,05,30,11:52:16"
160,2912.96,"2022,05,30,11:52:17"
160.25,2913.96,"2022,05,30,11:52:18"
160.25,2914.96,"2022,05,30,11:52:19"
159.75,2915.96,"2022,05,30,11:52:20"
160,2916.96,"2022,05,30,11:52:21"
160,2917.96,"2022,05,30,11:52:22"
161,2918.97,"2022,05,30,11:52:23"
160.5,2919.97,"2022,05,30,11:52:24"
160.25,2920.97,"2022,05,30,11:52:25"
160.75,2921.97,"2022,05,30,11:52:26"
161,2922.97,"2022,05,30,11:52:27"
160.75,2923.97,"2022,05,30,11:52:28"
160.75,2924.98,"2022,05,30,11:52:29"
160,2925.98,"2022,05,30,11:52:30"
161,2926.98,"2022,05,30,11:52:31"
160.75,2927.98,"2022,05,30,11:52:32"
160.25,2928.98,"2022,05,30,11:52:33"
160,2929.98,"2022,05,30,11:52:34"
160.25,2930.99,"2022,05,30,11:52:35"
160,2931.99,"2022,05,30,11:52:36"
160.75,2932.99,"2022,05,30,11:52:37"
160,2933.99,"2022,05,30,11:52:38"
160.25,2934.99,"2022,05,30,11:52:39"
160,2936,"2022,05,30,11:52:40"
160.5,2937,"2022,05,30,11:52:41"
160.75,2938,"2022,05,30,11:52:42"
160.75,2939,"2022,05,30,11:52:43"
160.5,2940,"2022,05,30,11:52:44"
160.5,2941,"2022,05,30,11:52:45"
160.25,2942,"2022,05,30,11:52:46"
160.25,2943.01,"2022,05,30,11:52:47"
160,2944.01,"2022,05,30,11:52:48"
160.75,2945.01,"2022,05,30,11:52:49"
161,2946.01,"2022,05,30,11:52:50"
160,2947.01,"2022,05,30,11:52:51"
160.25,2948.01,"2022,05,30,11:52:52"
160.75,2949.02,"2022,05,30,11:52:53"
160,2950.02,"2022,05,30,11:52:54"
161,2951.02,"2022,05,30,11:52:55"
160,2952.02,"2022,05,30,11:52:56"
161,2953.02,"2022,05,30,11:52:57"
160,2954.03,"2022,05,30,11:52:58"
160.25,2955.03,"2022,05,30,11:52:59"
159.75,2956.03,"2022,05,30,11:53:00"
160.25,2957.03,"2022,05,30,11:53:01"
160.75,2958.03,"2022,05,30,11:53:02"
160.75,2959.03,"2022,05,30,11:53:03"
160,2960.04,"2022,05,30,11:53:04"
160.25,2961.04,"2022,05,30,11:53:05"
160.5,2962.04,"2022,05,30,11:53:06"
159.75,2963.04,"2022,05,30,11:53:07"
160.75,2964.04,"2022,05,30,11:53:08"
160.5,2965.04,"2022,05,30,11:53:09"
160.25,2966.05,"2022,05,30,11:53:10"
160,2967.05,"2022,05,30,11:53:11"
161,2968.05,"2022,05,30,11:53:12"
160.25,2969.05,"2022,05,30,11:53:13"
160,2970.05,"2022,05,30,11:53:14"
160.5,2971.05,"2022,05,30,11:53:15"
159.75,2972.06,"2022,05,30,11:53:16"
160.5,2973.06,"2022,05,30,11:53:17"
159.75,2974.06,"2022,05,30,11:53:18"
160.75,2975.06,"2022,05,30,11:53:19"
160,2976.06,"2022,05,30,11:53:20"
160.5,2977.07,"2022,05,30,11:53:21"
159.75,2978.07,"2022,05,30,11:53:22"
160.5,2979.07,"2022,05,30,11:53:23"
159.75,2980.07,"2022,05,30,11:53:24"
160.25,2981.07,"2022,05,30,11:53:25"
160.5,2982.07,"2022,05,30,11:53:26"
160.25,2983.08,"2022,05,30,11:53:27"
160.5,2984.08,"2022,05,30,11:53:28"
160.25,2985.08,"2022,05,30,11:53:29"
160.75,2986.08,"2022,05,30,11:53:30"
160,2987.08,"2022,05,30,11:53:31"
160.75,2988.08,"2022,05,30,11:53:32"
160.5,2989.09,"2022,05,30,11:53:33"
160,2990.09,"2022,05,30,11:53:34"
160.5,2991.09,"2022,05,30,11:53:35"
159.75,2992.09,"2022,05,30,11:53:36"
160.5,2993.09,"2022,05,30,11:53:37"
159.5,2994.09,"2022,05,30,11:53:38"
160.75,2995.1,"2022,05,30,11:53:39"
159.75,2996.1,"2022,05,30,11:53:40"
160.5,2997.1,"2022,05,30,11:53:41"
159.75,2998.1,"2022,05,30,11:53:42"
160,2999.1,"2022,05,30,11:53:43"
160.25,3000.11,"2022,05,30,11:53:44"
160.5,3001.11,"2022,05,30,11:53:45"
160.25,3002.11,"2022,05,30,11:53:46"
160.5,3003.11,"2022,05,30,11:53:47"
160.25,3004.11,"2022,05,30,11:53:48"
159.75,3005.11,"2022,05,30,11:53:49"
160.75,3006.12,"2022,05,30,11:53:50"
159.5,3007.12,"2022,05,30,11:53:51"
160.75,3008.12,"2022,05,30,11:53:52"
159.75,3009.12,"2022,05,30,11:53:53"
160.75,3010.12,"2022,05,30,11:53:54"
159.5,3011.12,"2022,05,30,11:53:55"
160.5,3012.13,"2022,05,30,11:53:56"
159.75,3013.13,"2022,05,30,11:53:57"
160,3014.14,"2022,05,30,11:53:58"
160,3015.15,"2022,05,30,11:53:59"
159.75,3016.15,"2022,05,30,11:54:00"
160,3017.15,"2022,05,30,11:54:01"
160.5,3018.15,"2022,05,30,11:54:02"
160.5,3019.15,"2022,05,30,11:54:03"
160.5,3020.15,"2022,05,30,11:54:04"
160.75,3021.16,"2022,05,30,11:54:05"
160.25,3022.16,"2022,05,30,11:54:06"
161,3023.16,"2022,05,30,11:54:07"
161,3024.16,"2022,05,30,11:54:08"
160.5,3025.16,"2022,05,30,11:54:09"
161,3026.16,"2022,05,30,11:54:10"
