T,t
91.60157173667066,714.0
92.11129992511637,715.0
91.60157173667066,716.0
92.11129992511637,717.0
91.60157173667066,718.0
92.11129992511637,719.0
92.62102811356208,720.0
92.87589220778494,721.0
92.36616401933922,722.0
92.62102811356208,723.0
93.38562039623065,724.0
92.62102811356208,725.0
93.1307563020078,726.0
93.6404844904535,727.0
93.89534858467636,728.0
94.15021267889921,729.0
94.40507677312208,730.0
94.40507677312208,731.0
94.40507677312208,732.0
94.65994086734493,733.0
94.15021267889921,734.0
95.16966905579064,735.0
95.16966905579064,736.0
94.65994086734493,737.0
95.16966905579064,738.0
94.91480496156778,739.0
95.93426133845921,740.0
96.44398952690491,741.0
95.67939724423634,742.0
95.67939724423634,743.0
95.93426133845921,744.0
96.69885362112777,745.0
96.69885362112777,746.0
96.69885362112777,747.0
96.69885362112777,748.0
97.20858180957347,749.0
96.95371771535062,750.0
97.46344590379633,751.0
97.46344590379633,752.0
97.20858180957347,753.0
97.46344590379633,754.0
97.46344590379633,755.0
97.7183099980192,756.0
97.7183099980192,757.0
98.48290228068775,758.0
98.48290228068775,759.0
98.48290228068775,760.0
98.99263046913346,761.0
98.48290228068775,762.0
98.7377663749106,763.0
99.24749456335633,764.0
99.75722275180203,765.0
99.24749456335633,766.0
100.01208684602489,767.0
99.50235865757918,768.0
99.75722275180203,769.0
99.75722275180203,770.0
99.75722275180203,771.0
100.52181503447059,772.0
100.26695094024774,773.0
100.26695094024774,774.0
100.26695094024774,775.0
100.64924708158202,776.0
100.52181503447059,777.0
100.64924708158202,778.0
101.28640731713917,779.0
101.41383936425059,780.0
101.54127141136202,781.0
101.54127141136202,782.0
101.28640731713917,783.0
101.54127141136202,784.0
101.54127141136202,785.0
101.54127141136202,786.0
101.79613550558487,787.0
102.56072778825344,788.0
102.05099959980772,789.0
102.05099959980772,790.0
102.8155918824763,791.0
103.07045597669915,792.0
102.8155918824763,793.0
102.8155918824763,794.0
103.58018416514486,795.0
103.325320070922,796.0
103.07045597669915,797.0
103.325320070922,798.0
104.08991235359056,799.0
103.58018416514486,800.0
104.08991235359056,801.0
