"t","relay","T"
278,1,49.5489961898995
279,1,49.0392680014538
280,1,49.5489961898995
281,1,49.5489961898995
282,1,50.0587243783452
283,1,50.568452566791
284,1,50.0587243783452
285,1,50.3135884725681
286,1,51.0781807552367
287,1,51.3330448494595
288,1,51.3330448494595
289,1,51.8427730379052
290,1,51.5879089436824
291,1,51.3330448494595
292,1,51.8427730379052
293,1,52.352501226351
294,1,52.8622294147967
295,1,52.352501226351
296,1,52.352501226351
297,1,53.1170935090195
298,1,52.6073653205738
299,1,53.6268216974652
300,1,53.1170935090195
301,1,54.1365498859109
302,1,54.1365498859109
303,1,54.3914139801338
304,1,54.3914139801338
305,1,54.1365498859109
306,1,54.9011421685795
307,1,54.3914139801338
308,1,55.1560062628024
309,1,55.6657344512481
310,1,54.9011421685795
311,1,55.4108703570252
312,1,55.6657344512481
313,1,56.1754626396938
314,1,56.4303267339166
315,1,56.6851908281395
316,1,56.9400549223623
317,1,56.9400549223623
318,1,56.6851908281395
319,1,57.4497831108081
320,1,57.4497831108081
321,1,57.7046472050309
322,1,57.9595112992538
323,1,58.2143753934766
324,1,57.9595112992538
325,1,58.4692394876995
326,1,58.4692394876995
327,1,58.7241035819223
328,1,58.2143753934766
329,1,58.9789676761452
330,1,58.7241035819223
331,1,58.9789676761452
332,1,59.7435599588138
333,1,59.7435599588138
334,1,59.7435599588138
335,1,60.2532881472595
336,1,59.7435599588138
337,1,59.9984240530366
338,1,61.017880429928
339,1,61.017880429928
340,1,60.7630163357052
341,1,61.5276086183737
342,1,60.7630163357052
343,1,61.5276086183737
344,1,61.7824727125966
345,1,61.5276086183737
346,1,62.2922009010423
347,1,62.2922009010423
348,1,61.7824727125966
349,1,62.2922009010423
350,1,62.801929089488
351,1,63.0567931837109
352,1,62.801929089488
353,1,63.0567931837109
354,1,63.0567931837109
355,1,64.0762495606023
356,1,64.0762495606023
357,1,64.585977749048
358,1,64.0762495606023
359,1,64.0762495606023
360,1,64.0762495606023
361,1,64.3311136548252
362,1,65.3505700317166
363,1,65.3505700317166
364,1,65.6054341259394
365,1,65.3505700317166
366,1,65.6054341259394
367,1,65.3505700317166
368,1,65.3505700317166
369,1,66.370026408608
370,1,65.8602982201623
371,1,66.6248905028309
372,1,66.6248905028309
373,1,66.8797545970537
374,1,66.1151623143851
375,1,66.8797545970537
376,1,67.1346186912766
377,1,66.8797545970537
378,1,66.8797545970537
379,1,67.3894827854994
380,1,67.1346186912766
381,1,68.154075068168
382,1,67.8992109739451
383,1,67.8992109739451
384,1,68.9186673508365
385,1,68.6638032566137
386,1,68.4089391623908
387,1,68.9186673508365
388,1,68.9186673508365
389,1,69.1735314450594
390,1,69.1735314450594
391,1,69.4283955392823
392,1,69.6832596335051
393,1,69.6832596335051
394,1,70.4478519161737
395,1,70.4478519161737
396,1,70.1929878219508
397,1,70.7027160103965
398,1,70.9575801046194
399,1,71.2124441988422
400,1,70.7027160103965
401,1,71.722172387288
402,1,71.722172387288
403,1,72.2319005757337
404,1,71.9770364815108
405,1,72.4867646699565
406,1,71.9770364815108
407,1,72.7416287641794
408,1,72.2319005757337
409,1,72.7416287641794
410,1,73.2513569526251
411,1,73.2513569526251
412,1,73.2513569526251
413,1,73.7610851410708
414,1,73.5062210468479
415,1,73.2513569526251
416,1,73.5062210468479
417,1,73.5062210468479
418,1,73.7610851410708
419,1,74.5256774237394
420,1,74.2708133295165
421,1,74.0159492352936
422,1,74.5256774237394
423,1,74.5256774237394
424,1,74.5256774237394
425,1,75.0354056121851
426,1,75.0354056121851
427,1,75.2902697064079
428,1,75.7999978948536
429,1,75.2902697064079
430,0,75.5451338006308
431,1,76.0548619890765
432,0,75.7999978948536
433,0,75.7999978948536
434,0,76.3097260832994
435,0,75.7999978948536
436,0,76.0548619890765
437,0,76.3097260832994
438,0,76.8194542717451
439,0,76.8194542717451
440,0,76.0548619890765
441,0,76.0548619890765
442,0,77.0743183659679
443,0,76.8194542717451
444,0,76.3097260832994
445,0,76.8194542717451
446,0,76.3097260832994
447,0,76.0548619890765
448,0,77.0743183659679
449,0,77.0743183659679
450,0,76.5645901775222
451,0,76.5645901775222
452,0,76.8194542717451
453,0,76.0548619890765
454,0,76.3097260832994
455,0,76.3097260832994
456,0,75.5451338006308
457,0,76.3097260832994
458,0,75.5451338006308
459,0,76.3097260832994
460,0,76.0548619890765
461,0,75.2902697064079
462,0,76.0548619890765
463,1,75.2902697064079
464,0,75.5451338006308
465,1,75.5451338006308
466,0,75.2902697064079
467,0,75.5451338006308
468,1,74.7805415179622
469,0,75.2902697064079
470,1,74.7805415179622
471,1,75.5451338006308
472,1,75.0354056121851
