,"T",,"date"
,80.97,355.49,"2022,05,31,10:48:13"
,80.46,356.49,"2022,05,31,10:48:14"
,81.22,357.5,"2022,05,31,10:48:15"
,80.97,358.52,"2022,05,31,10:48:16"
,80.97,359.53,"2022,05,31,10:48:17"
,80.97,360.53,"2022,05,31,10:48:18"
,80.2,361.53,"2022,05,31,10:48:19"
,80.97,362.53,"2022,05,31,10:48:20"
,81.22,363.56,"2022,05,31,10:48:21"
,81.22,364.56,"2022,05,31,10:48:22"
,80.2,365.56,"2022,05,31,10:48:23"
,80.2,366.57,"2022,05,31,10:48:24"
,80.71,367.57,"2022,05,31,10:48:25"
,80.97,368.6,"2022,05,31,10:48:26"
,81.48,369.6,"2022,05,31,10:48:27"
,81.73,370.6,"2022,05,31,10:48:28"
,81.48,371.6,"2022,05,31,10:48:29"
,81.99,372.6,"2022,05,31,10:48:30"
,81.22,373.63,"2022,05,31,10:48:32"
,82.24,374.64,"2022,05,31,10:48:32"
,81.48,375.64,"2022,05,31,10:48:34"
,81.73,376.64,"2022,05,31,10:48:34"
,81.99,377.64,"2022,05,31,10:48:36"
,82.5,378.67,"2022,05,31,10:48:37"
,82.5,379.67,"2022,05,31,10:48:38"
,82.5,380.67,"2022,05,31,10:48:39"
,82.24,381.67,"2022,05,31,10:48:40"
,83.01,382.68,"2022,05,31,10:48:41"
,83.52,383.71,"2022,05,31,10:48:42"
,83.01,384.71,"2022,05,31,10:48:43"
,83.01,385.71,"2022,05,31,10:48:44"
,83.78,386.71,"2022,05,31,10:48:45"
,83.27,387.71,"2022,05,31,10:48:46"
,83.52,388.74,"2022,05,31,10:48:47"
,83.52,389.74,"2022,05,31,10:48:48"
,84.29,390.75,"2022,05,31,10:48:49"
,84.29,391.75,"2022,05,31,10:48:50"
,84.29,392.75,"2022,05,31,10:48:51"
,84.54,393.78,"2022,05,31,10:48:52"
,84.29,394.78,"2022,05,31,10:48:53"
,84.8,395.78,"2022,05,31,10:48:54"
,85.56,396.78,"2022,05,31,10:48:55"
,85.31,397.78,"2022,05,31,10:48:56"
,86.07,398.81,"2022,05,31,10:48:57"
,85.56,399.82,"2022,05,31,10:48:58"
,86.33,400.82,"2022,05,31,10:48:59"
,86.07,401.82,"2022,05,31,10:49:00"
,85.82,402.82,"2022,05,31,10:49:01"
,86.07,403.85,"2022,05,31,10:49:02"
,86.33,404.85,"2022,05,31,10:49:03"
,86.33,405.85,"2022,05,31,10:49:04"
,87.6,406.86,"2022,05,31,10:49:05"
,87.09,407.86,"2022,05,31,10:49:06"
,87.6,408.89,"2022,05,31,10:49:07"
,88.11,409.89,"2022,05,31,10:49:08"
,87.35,410.89,"2022,05,31,10:49:09"
,88.37,411.89,"2022,05,31,10:49:10"
,87.6,412.89,"2022,05,31,10:49:11"
,88.11,413.92,"2022,05,31,10:49:12"
,87.86,414.92,"2022,05,31,10:49:13"
,89.13,415.92,"2022,05,31,10:49:14"
,88.62,416.93,"2022,05,31,10:49:15"
,89.39,417.93,"2022,05,31,10:49:16"
,89.39,418.96,"2022,05,31,10:49:17"
,89.13,419.96,"2022,05,31,10:49:18"
,90.15,420.96,"2022,05,31,10:49:19"
,89.13,421.96,"2022,05,31,10:49:20"
,89.64,422.97,"2022,05,31,10:49:21"
,89.9,424,"2022,05,31,10:49:22"
,90.66,425,"2022,05,31,10:49:23"
,90.92,426,"2022,05,31,10:49:24"
,90.92,427,"2022,05,31,10:49:25"
,90.66,428,"2022,05,31,10:49:26"
,91.17,429.03,"2022,05,31,10:49:27"
,90.92,430.03,"2022,05,31,10:49:28"
,91.43,431.03,"2022,05,31,10:49:29"
,91.94,432.04,"2022,05,31,10:49:30"
,91.94,433.04,"2022,05,31,10:49:31"
,91.68,434.07,"2022,05,31,10:49:32"
,91.94,435.07,"2022,05,31,10:49:33"
,92.45,436.07,"2022,05,31,10:49:34"
,92.96,437.07,"2022,05,31,10:49:35"
,92.7,438.07,"2022,05,31,10:49:36"
,92.45,439.1,"2022,05,31,10:49:37"
,92.45,440.1,"2022,05,31,10:49:38"
,93.47,441.11,"2022,05,31,10:49:39"
,93.21,442.11,"2022,05,31,10:49:40"
,93.72,443.11,"2022,05,31,10:49:41"
,93.98,444.14,"2022,05,31,10:49:42"
,94.23,445.14,"2022,05,31,10:49:43"
,94.23,446.14,"2022,05,31,10:49:44"
,93.72,447.14,"2022,05,31,10:49:45"
,94.23,448.15,"2022,05,31,10:49:46"
,95,449.17,"2022,05,31,10:49:47"
,94.49,450.18,"2022,05,31,10:49:48"
,94.74,451.18,"2022,05,31,10:49:49"
,95.51,452.18,"2022,05,31,10:49:50"
,95.26,453.18,"2022,05,31,10:49:51"
,95.51,454.21,"2022,05,31,10:49:52"
,96.02,455.21,"2022,05,31,10:49:53"
,96.28,456.22,"2022,05,31,10:49:54"
,95.51,457.22,"2022,05,31,10:49:55"
,96.02,458.22,"2022,05,31,10:49:56"
,96.53,459.25,"2022,05,31,10:49:57"
,96.02,460.25,"2022,05,31,10:49:58"
,97.3,461.25,"2022,05,31,10:49:59"
,97.04,462.25,"2022,05,31,10:50:00"
,97.55,463.25,"2022,05,31,10:50:01"
,97.04,464.28,"2022,05,31,10:50:02"
,97.55,465.29,"2022,05,31,10:50:03"
,97.3,466.29,"2022,05,31,10:50:04"
,97.55,467.29,"2022,05,31,10:50:05"
,98.32,468.29,"2022,05,31,10:50:06"
,98.57,469.32,"2022,05,31,10:50:07"
,97.81,470.32,"2022,05,31,10:50:08"
,98.57,471.32,"2022,05,31,10:50:09"
,98.57,472.32,"2022,05,31,10:50:10"
,99.08,473.33,"2022,05,31,10:50:11"
,98.83,474.36,"2022,05,31,10:50:12"
,98.83,475.36,"2022,05,31,10:50:13"
,99.08,476.36,"2022,05,31,10:50:14"
,99.08,477.36,"2022,05,31,10:50:15"
,100.1,478.36,"2022,05,31,10:50:16"
,100.36,479.39,"2022,05,31,10:50:17"
,99.85,480.39,"2022,05,31,10:50:18"
,100.61,481.4,"2022,05,31,10:50:19"
,100.87,482.4,"2022,05,31,10:50:20"
,100.1,483.4,"2022,05,31,10:50:21"
,100.1,484.43,"2022,05,31,10:50:22"
,101.12,485.43,"2022,05,31,10:50:23"
,100.61,486.44,"2022,05,31,10:50:24"
,101.12,487.44,"2022,05,31,10:50:25"
,101.38,488.44,"2022,05,31,10:50:26"
,101.12,489.47,"2022,05,31,10:50:27"
,101.12,490.47,"2022,05,31,10:50:28"
,101.63,491.47,"2022,05,31,10:50:29"
,102.4,492.48,"2022,05,31,10:50:30"
,102.14,493.48,"2022,05,31,10:50:31"
,101.63,494.51,"2022,05,31,10:50:32"
,101.89,495.51,"2022,05,31,10:50:33"
,102.4,496.51,"2022,05,31,10:50:34"
,102.4,497.51,"2022,05,31,10:50:35"
,102.91,498.52,"2022,05,31,10:50:36"
,103.42,499.55,"2022,05,31,10:50:37"
,102.65,500.55,"2022,05,31,10:50:38"
,102.91,501.55,"2022,05,31,10:50:39"
,103.93,502.55,"2022,05,31,10:50:40"
,103.93,503.55,"2022,05,31,10:50:41"
,103.67,504.59,"2022,05,31,10:50:42"
,103.93,505.59,"2022,05,31,10:50:43"
,103.67,506.59,"2022,05,31,10:50:44"
,103.93,507.59,"2022,05,31,10:50:45"
,104.18,508.59,"2022,05,31,10:50:46"
,104.69,509.63,"2022,05,31,10:50:47"
,104.44,510.63,"2022,05,31,10:50:48"
,105.46,511.63,"2022,05,31,10:50:49"
,105.46,512.63,"2022,05,31,10:50:50"
,105.2,513.63,"2022,05,31,10:50:51"
,105.2,514.66,"2022,05,31,10:50:52"
,105.71,515.66,"2022,05,31,10:50:53"
,105.2,516.67,"2022,05,31,10:50:54"
,106.22,517.67,"2022,05,31,10:50:55"
,106.22,518.67,"2022,05,31,10:50:56"
,106.22,519.7,"2022,05,31,10:50:57"
