,"T",,"date"
,204.44,1731.14,"2022,05,31,11:11:08"
,203.67,1732.14,"2022,05,31,11:11:09"
,204.44,1733.14,"2022,05,31,11:11:10"
,204.44,1734.17,"2022,05,31,11:11:11"
,203.93,1735.18,"2022,05,31,11:11:12"
,203.93,1736.18,"2022,05,31,11:11:13"
,204.69,1737.18,"2022,05,31,11:11:14"
,204.69,1738.18,"2022,05,31,11:11:15"
,204.44,1739.21,"2022,05,31,11:11:16"
,205.2,1740.21,"2022,05,31,11:11:17"
,205.2,1741.22,"2022,05,31,11:11:18"
,205.2,1742.22,"2022,05,31,11:11:19"
,204.44,1743.22,"2022,05,31,11:11:20"
,205.46,1744.25,"2022,05,31,11:11:21"
,205.46,1745.26,"2022,05,31,11:11:22"
,205.2,1746.26,"2022,05,31,11:11:23"
,205.97,1747.26,"2022,05,31,11:11:24"
,205.97,1748.26,"2022,05,31,11:11:25"
,206.22,1749.29,"2022,05,31,11:11:26"
,205.97,1750.3,"2022,05,31,11:11:27"
,205.46,1751.3,"2022,05,31,11:11:28"
,205.97,1752.3,"2022,05,31,11:11:29"
,206.22,1753.3,"2022,05,31,11:11:30"
,205.46,1754.33,"2022,05,31,11:11:31"
,206.22,1755.33,"2022,05,31,11:11:32"
,206.48,1756.34,"2022,05,31,11:11:33"
,205.97,1757.34,"2022,05,31,11:11:34"
,206.73,1758.34,"2022,05,31,11:11:35"
,206.22,1759.37,"2022,05,31,11:11:36"
,206.22,1760.37,"2022,05,31,11:11:37"
,206.99,1761.38,"2022,05,31,11:11:38"
,206.99,1762.38,"2022,05,31,11:11:39"
,207.24,1763.38,"2022,05,31,11:11:40"
,206.48,1764.41,"2022,05,31,11:11:41"
,207.24,1765.41,"2022,05,31,11:11:42"
,206.48,1766.42,"2022,05,31,11:11:43"
,207.24,1767.42,"2022,05,31,11:11:44"
,207.5,1768.42,"2022,05,31,11:11:45"
,206.99,1769.45,"2022,05,31,11:11:46"
,207.5,1770.45,"2022,05,31,11:11:47"
,207.76,1771.46,"2022,05,31,11:11:48"
,207.76,1772.46,"2022,05,31,11:11:49"
,207.5,1773.46,"2022,05,31,11:11:50"
,208.01,1774.49,"2022,05,31,11:11:52"
,207.5,1775.49,"2022,05,31,11:11:52"
,207.24,1776.5,"2022,05,31,11:11:53"
,207.24,1777.5,"2022,05,31,11:11:54"
,208.01,1778.5,"2022,05,31,11:11:55"
,208.27,1779.53,"2022,05,31,11:11:57"
,208.01,1780.53,"2022,05,31,11:11:58"
,208.01,1781.54,"2022,05,31,11:11:59"
,207.5,1782.54,"2022,05,31,11:12:00"
,208.27,1783.54,"2022,05,31,11:12:01"
,208.27,1784.57,"2022,05,31,11:12:02"
,208.78,1785.57,"2022,05,31,11:12:03"
,208.01,1786.57,"2022,05,31,11:12:04"
,208.52,1787.58,"2022,05,31,11:12:05"
,208.01,1788.58,"2022,05,31,11:12:06"
,208.78,1789.61,"2022,05,31,11:12:07"
,208.52,1790.61,"2022,05,31,11:12:08"
,209.29,1791.61,"2022,05,31,11:12:09"
,208.78,1792.62,"2022,05,31,11:12:10"
,209.29,1793.62,"2022,05,31,11:12:11"
,209.03,1794.65,"2022,05,31,11:12:12"
,209.29,1795.65,"2022,05,31,11:12:13"
,209.03,1796.65,"2022,05,31,11:12:14"
,209.54,1797.66,"2022,05,31,11:12:15"
,209.29,1798.66,"2022,05,31,11:12:16"
,209.54,1799.69,"2022,05,31,11:12:17"
,209.29,1800.69,"2022,05,31,11:12:18"
,209.54,1801.69,"2022,05,31,11:12:19"
,209.54,1802.7,"2022,05,31,11:12:20"
,210.31,1803.7,"2022,05,31,11:12:21"
,210.05,1804.73,"2022,05,31,11:12:22"
,210.56,1805.73,"2022,05,31,11:12:23"
,210.05,1806.73,"2022,05,31,11:12:24"
,210.31,1807.73,"2022,05,31,11:12:25"
,210.05,1808.74,"2022,05,31,11:12:26"
,211.07,1809.77,"2022,05,31,11:12:27"
,210.82,1810.77,"2022,05,31,11:12:28"
,210.82,1811.77,"2022,05,31,11:12:29"
,210.05,1812.78,"2022,05,31,11:12:30"
,211.07,1813.78,"2022,05,31,11:12:31"
,210.56,1814.81,"2022,05,31,11:12:32"
,211.58,1815.81,"2022,05,31,11:12:33"
,210.56,1816.81,"2022,05,31,11:12:34"
,211.33,1817.81,"2022,05,31,11:12:35"
,210.56,1818.82,"2022,05,31,11:12:36"
,211.33,1819.85,"2022,05,31,11:12:37"
,211.58,1820.85,"2022,05,31,11:12:38"
,211.33,1821.85,"2022,05,31,11:12:39"
,211.84,1822.85,"2022,05,31,11:12:40"
,211.07,1823.86,"2022,05,31,11:12:41"
,211.33,1824.89,"2022,05,31,11:12:42"
,211.58,1825.89,"2022,05,31,11:12:43"
,211.84,1826.89,"2022,05,31,11:12:44"
,211.84,1827.89,"2022,05,31,11:12:45"
,211.58,1828.9,"2022,05,31,11:12:46"
,211.33,1829.93,"2022,05,31,11:12:47"
,211.58,1830.93,"2022,05,31,11:12:48"
,211.84,1831.93,"2022,05,31,11:12:49"
,211.58,1832.94,"2022,05,31,11:12:50"
,211.58,1833.94,"2022,05,31,11:12:51"
,211.84,1834.97,"2022,05,31,11:12:52"
,210.82,1835.97,"2022,05,31,11:12:53"
,211.58,1836.97,"2022,05,31,11:12:54"
,211.58,1837.97,"2022,05,31,11:12:55"
,211.58,1838.98,"2022,05,31,11:12:56"
,211.33,1840.01,"2022,05,31,11:12:57"
,210.56,1841.01,"2022,05,31,11:12:58"
,210.56,1842.01,"2022,05,31,11:12:59"
,210.56,1843.01,"2022,05,31,11:13:00"
,210.31,1844.02,"2022,05,31,11:13:01"
,210.31,1845.05,"2022,05,31,11:13:02"
,211.07,1846.05,"2022,05,31,11:13:03"
,210.56,1847.05,"2022,05,31,11:13:04"
,210.56,1848.05,"2022,05,31,11:13:05"
,209.8,1849.06,"2022,05,31,11:13:06"
,210.31,1850.09,"2022,05,31,11:13:07"
,210.31,1851.09,"2022,05,31,11:13:08"
,210.31,1852.09,"2022,05,31,11:13:09"
,209.54,1853.09,"2022,05,31,11:13:10"
,209.29,1854.1,"2022,05,31,11:13:11"
,209.29,1855.13,"2022,05,31,11:13:12"
,209.8,1856.13,"2022,05,31,11:13:13"
,209.29,1857.13,"2022,05,31,11:13:14"
,209.8,1858.13,"2022,05,31,11:13:15"
,209.54,1859.14,"2022,05,31,11:13:16"
,209.54,1860.17,"2022,05,31,11:13:17"
,208.78,1861.17,"2022,05,31,11:13:18"
,208.78,1862.17,"2022,05,31,11:13:19"
,208.78,1863.17,"2022,05,31,11:13:20"
,208.27,1864.18,"2022,05,31,11:13:21"
,208.01,1865.21,"2022,05,31,11:13:22"
,208.52,1866.23,"2022,05,31,11:13:23"
,208.52,1867.23,"2022,05,31,11:13:24"
,208.01,1868.23,"2022,05,31,11:13:25"
,208.27,1869.23,"2022,05,31,11:13:26"
,207.5,1870.27,"2022,05,31,11:13:27"
,207.5,1871.27,"2022,05,31,11:13:28"
,207.24,1872.27,"2022,05,31,11:13:29"
,207.24,1873.27,"2022,05,31,11:13:30"
,207.24,1874.28,"2022,05,31,11:13:31"
,207.5,1875.31,"2022,05,31,11:13:32"
,207.5,1876.31,"2022,05,31,11:13:33"
,206.73,1877.31,"2022,05,31,11:13:34"
,207.24,1878.31,"2022,05,31,11:13:35"
,206.73,1879.31,"2022,05,31,11:13:36"
,207.24,1880.34,"2022,05,31,11:13:37"
,206.73,1881.35,"2022,05,31,11:13:38"
,206.99,1882.35,"2022,05,31,11:13:39"
,206.99,1883.35,"2022,05,31,11:13:40"
,206.99,1884.35,"2022,05,31,11:13:41"
,206.22,1885.38,"2022,05,31,11:13:42"
,205.97,1886.39,"2022,05,31,11:13:43"
,206.22,1887.39,"2022,05,31,11:13:44"
,206.73,1888.39,"2022,05,31,11:13:45"
,205.97,1889.39,"2022,05,31,11:13:46"
,206.48,1890.42,"2022,05,31,11:13:47"
,206.48,1891.42,"2022,05,31,11:13:48"
,205.46,1892.43,"2022,05,31,11:13:49"
,205.97,1893.43,"2022,05,31,11:13:50"
,205.2,1894.43,"2022,05,31,11:13:51"
,206.22,1895.46,"2022,05,31,11:13:52"
,205.97,1896.46,"2022,05,31,11:13:53"
,205.46,1897.46,"2022,05,31,11:13:54"
,204.95,1898.47,"2022,05,31,11:13:55"
,205.71,1899.47,"2022,05,31,11:13:56"
,205.2,1900.5,"2022,05,31,11:13:57"
,204.95,1901.5,"2022,05,31,11:13:58"
,205.2,1902.5,"2022,05,31,11:13:59"
,204.44,1903.51,"2022,05,31,11:14:00"
,204.18,1904.51,"2022,05,31,11:14:01"
,204.95,1905.54,"2022,05,31,11:14:02"
,203.93,1906.54,"2022,05,31,11:14:03"
,203.67,1907.54,"2022,05,31,11:14:04"
,204.44,1908.54,"2022,05,31,11:14:05"
,203.93,1909.55,"2022,05,31,11:14:06"
,203.67,1910.58,"2022,05,31,11:14:07"
,204.18,1911.58,"2022,05,31,11:14:08"
,203.93,1912.58,"2022,05,31,11:14:10"
,203.93,1913.58,"2022,05,31,11:14:10"
,203.93,1914.58,"2022,05,31,11:14:12"
,203.42,1915.62,"2022,05,31,11:14:13"
,203.93,1916.62,"2022,05,31,11:14:14"
,202.91,1917.62,"2022,05,31,11:14:15"
,203.67,1918.62,"2022,05,31,11:14:16"
,203.42,1919.62,"2022,05,31,11:14:17"
,203.67,1920.66,"2022,05,31,11:14:18"
,203.16,1921.66,"2022,05,31,11:14:19"
,203.16,1922.66,"2022,05,31,11:14:20"
,202.91,1923.66,"2022,05,31,11:14:21"
,203.16,1924.66,"2022,05,31,11:14:22"
,203.16,1925.69,"2022,05,31,11:14:23"
,202.4,1926.69,"2022,05,31,11:14:24"
,202.14,1927.7,"2022,05,31,11:14:25"
,202.65,1928.7,"2022,05,31,11:14:26"
,201.89,1929.7,"2022,05,31,11:14:27"
,201.89,1930.73,"2022,05,31,11:14:28"
,202.4,1931.73,"2022,05,31,11:14:29"
,202.4,1932.74,"2022,05,31,11:14:30"
,201.63,1933.74,"2022,05,31,11:14:31"
,202.14,1934.74,"2022,05,31,11:14:32"
,201.38,1935.77,"2022,05,31,11:14:33"
,201.38,1936.77,"2022,05,31,11:14:34"
,201.63,1937.78,"2022,05,31,11:14:35"
,200.87,1938.78,"2022,05,31,11:14:36"
,201.38,1939.78,"2022,05,31,11:14:37"
,201.63,1940.81,"2022,05,31,11:14:38"
,201.38,1941.81,"2022,05,31,11:14:39"
,200.87,1942.81,"2022,05,31,11:14:40"
